gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
4420671922	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/323765587/original.jpg	https://www.inaturalist.org/photos/323765587					2023-09-29T06:36:38Z	tessf		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	tessf
4420115352	StillImage	image/jpeg	https://mediaphoto.mnhn.fr/media/1699433728545sw36B3zBpn8v3Fyk							Grouard Jean-Christophe			http://creativecommons.org/licenses/by-nc-nd/4.0/	
4417038795	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/322457420/original.jpg	https://www.inaturalist.org/photos/322457420					2023-09-24T14:01:58Z	pkondrashov		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	pkondrashov
4416966085	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/322457105/original.jpg	https://www.inaturalist.org/photos/322457105					2023-09-24T14:02:34Z	pkondrashov		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	pkondrashov
4416792455	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/281650437/original.jpeg	https://www.inaturalist.org/photos/281650437					2023-05-20T23:58:43Z	petitcrabe		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	petitcrabe
4409734986	StillImage	image/jpeg	https://observation.org/photos/75382955.jpg							Pjotr Meier			http://creativecommons.org/licenses/by-nc-nd/4.0/	Pjotr Meier
4408182999	StillImage	image/jpeg	https://observation.org/photos/65513972.jpg							peter van meerendonk			http://creativecommons.org/licenses/by-nc-nd/4.0/	peter van meerendonk
4408182999	StillImage	image/jpeg	https://observation.org/photos/65513971.jpg							peter van meerendonk			http://creativecommons.org/licenses/by-nc-nd/4.0/	peter van meerendonk
4407267655	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/301759097/original.jpeg	https://www.inaturalist.org/photos/301759097					2023-07-04T02:53:32Z	Javier Castrillo		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Javier Castrillo
4407200492	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/298484153/original.jpeg	https://www.inaturalist.org/photos/298484153					2020-07-11T18:33:12Z	Daniel PINELLI		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Daniel PINELLI
4405315339	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/313297373/original.jpeg	https://www.inaturalist.org/photos/313297373					2011-05-22T14:16:31Z	rafael-ritter72		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	rafael-ritter72
4405152996	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/313375435/original.jpeg	https://www.inaturalist.org/photos/313375435					2015-08-24T19:58:39Z	Alvaro Mínguez Velasco		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Alvaro Mínguez Velasco
4405152996	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/313375422/original.jpeg	https://www.inaturalist.org/photos/313375422					2015-08-24T19:58:35Z	Alvaro Mínguez Velasco		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Alvaro Mínguez Velasco
4400147447	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/291895714/original.jpg	https://www.inaturalist.org/photos/291895714					2023-06-10T14:25:01Z	Danielle Carlock		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Danielle Carlock
439448680	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441350074871aPZwhYNUzcLJrk0p										http://creativecommons.org/licenses/by/4.0/	
439448679	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441350074847sVUGFeFNezMU4qfR										http://creativecommons.org/licenses/by/4.0/	
439042113	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441327409946yvymPguKYBQvnjfb										http://creativecommons.org/licenses/by/4.0/	
438781844	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441350075022omP90DPeUCD5yEIe										http://creativecommons.org/licenses/by/4.0/	
438552588	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/14413272635934X1rLDBHajXDO4LR										http://creativecommons.org/licenses/by/4.0/	
438494711	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/14413061585171RpuOPUekCl8YULa										http://creativecommons.org/licenses/by/4.0/	
438448882	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441350074891Ht3x0mtdV2LmnlPF										http://creativecommons.org/licenses/by/4.0/	
438062275	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441352826239HEpYvfeIgNG6pq8k										http://creativecommons.org/licenses/by/4.0/	
438043950	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441337490161eTYGYNUxVTydpYJT										http://creativecommons.org/licenses/by/4.0/	
437960201	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441406307967CzlZ0G6uZ8cana6E										http://creativecommons.org/licenses/by/4.0/	
437925422	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441305350575ePRixzOmXaFKfw4r										http://creativecommons.org/licenses/by/4.0/	
437828473	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441306158483VPeTWOm45oSJcy3L										http://creativecommons.org/licenses/by/4.0/	
437782767	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/14413500749778y8Ny9p8Z8qITymb										http://creativecommons.org/licenses/by/4.0/	
437760747	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/14413455085592qCvH2euxFKOeawN										http://creativecommons.org/licenses/by/4.0/	
